,beekin_id,latitude,longitude,baths,beds,sqft,posted_at,property_type,price,city,blockgroup,days_since_2014,trans_log_price
0,daa4e7c205,43.5533063,-116.575888,2.0,3.0,1050.0,2019-08-15,3.0,1095.0,Nampa,160270205031,2052,-0.9539017380453936
1,413b8e9607,43.6062,-116.5533,2.0,2.0,1171.0,2019-08-19,3.0,1095.0,Nampa,160270211003,2056,-0.9539017380453936
2,6062b64ce2,43.735306,-111.840515,2.0,3.0,1400.0,2017-09-14,1.0,1125.0,Rexburg,160659505002,1352,-0.839987978843505
3,f537e8f9b3,43.85365,-111.778496,2.0,5.0,1650.0,2017-09-14,1.0,1400.0,Rexburg,160659501002,1352,0.08168914318542979
4,c19b127b80,43.8309,-111.80045,2.0,5.0,2192.0,2017-09-14,1.0,1095.0,Rexburg,160659502003,1352,-0.9539017380453936
6,d2222f2724,43.826088,-111.80793,2.5,3.0,1420.0,2017-09-14,2.0,1100.0,Rexburg,160659502003,1352,-0.934701010004234
10,6d35e3fb81,43.632901,-116.377059,2.0,3.0,1665.0,2021-09-17,1.0,2100.0,Meridian,160010103333,2816,1.7905431344914915
11,8199e6ab36,43.631922,-116.41085,2.0,3.0,1623.0,2021-09-17,1.0,2350.0,Meridian,160010103321,2816,2.2645875024756354
12,08b82d47e4,43.653467,-116.433081,3.0,4.0,1560.0,2021-09-17,1.0,2250.0,Meridian,160010103351,2816,2.0813172145652135
13,08b82d47e4,43.653467,-116.433081,3.0,4.0,1560.0,2021-09-26,1.0,2150.0,Meridian,160010103351,2825,1.8897136515415067
14,b3aca748bd,43.640019,-116.403469,3.0,4.0,2277.0,2021-09-17,1.0,2700.0,Meridian,160010103321,2816,2.849720990372653
15,1c2e697fee,43.632478000000006,-116.39461,2.0,3.0,1375.0,2021-09-17,0.0,1795.0,Meridian,160010103321,2816,1.129143618724513
16,1fc6daef29,43.647704,-116.466538,2.0,3.0,1531.0,2021-09-17,1.0,2195.0,Meridian,160010103351,2816,1.9770147537487361
17,4d81104044,43.600234,-116.365321,2.0,4.0,2002.0,2021-09-18,1.0,2495.0,Meridian,160010103211,2817,2.516927095468798
18,e9c2168aeb,43.601972,-116.430633,2.0,2.0,932.0,2021-09-19,2.0,1920.0,Meridian,160010103342,2818,1.4128679856706143
19,baa5efcde0,43.601972,-116.430633,1.0,1.0,701.0,2021-09-19,2.0,1516.0,Meridian,160010103342,2818,0.4171803803251104
20,9d08ae8106,43.597555,-116.409159,2.0,3.0,1301.0,2021-09-19,1.0,2200.0,Meridian,160010103223,2818,1.9866041834044843
22,cae305621c,43.647543,-116.412413,2.0,2.0,950.0,2021-09-19,0.0,1425.0,Meridian,160010103321,2818,0.15628494037217946
23,8e81ee8452,43.647543,-116.412413,2.0,3.0,1000.0,2021-09-19,0.0,1525.0,Meridian,160010103321,2818,0.4421268343763216
24,3b5c28c7f0,43.574496,-116.385322,3.0,3.0,1645.0,2021-09-19,1.0,2145.0,Meridian,160010103132,2818,1.8799009520785173
25,ab0fe14371,43.550058,-116.349634,2.0,4.0,2055.0,2021-09-21,1.0,2700.0,Meridian,160010103133,2820,2.849720990372653
27,d83ffb07e3,43.572948,-116.356199,3.0,4.0,1870.0,2021-09-22,1.0,2400.0,Meridian,160010103133,2821,2.35331820116924
28,b0a652dd22,43.662033,-116.43024,2.0,3.0,1522.0,2021-09-23,1.0,2500.0,Meridian,160010103351,2822,2.5253646408604307
29,f6828c5d97,43.589076,-116.422306,2.0,2.0,1043.0,2021-09-24,3.0,1495.0,Meridian,160010103131,2823,0.3583912485317196
31,6a2c212bdf,43.572812,-116.391912,2.0,3.0,1610.0,2021-09-24,1.0,2195.0,Meridian,160010103132,2823,1.9770147537487361
33,a5e8e0fe53,43.625297,-116.450191,2.0,3.0,1743.0,2021-09-25,1.0,2000.0,Meridian,160010103353,2824,1.5849144253618008
34,8bff21842a,43.631035,-116.382522,2.0,4.0,1608.0,2021-09-26,1.0,2195.0,Meridian,160010103333,2825,1.9770147537487361
35,64976144f1,43.59548,-116.373952,2.0,4.0,2132.0,2021-09-26,1.0,1995.0,Meridian,160010103211,2825,1.5743648516045192
37,4c2be61271,43.586372,-116.399552,2.0,3.0,2207.0,2021-09-26,1.0,2600.0,Meridian,160010103131,2825,2.6906623961384866
38,c9b1decdcc,43.651304,-116.392208,3.0,4.0,2123.0,2021-09-27,1.0,2150.0,Meridian,160010103311,2826,1.8897136515415067
39,bb840d1438,43.622923,-116.36085,3.0,4.0,1872.0,2021-09-27,1.0,2600.0,Meridian,160010103332,2826,2.6906623961384866
40,6c13603fb5,43.610201,-116.443075,2.0,3.0,1502.0,2021-09-28,1.0,2095.0,Meridian,160010103341,2827,1.7804965206387937
42,dacc3b65f7,43.571402,-116.383952,2.0,3.0,2008.0,2021-09-28,1.0,2500.0,Meridian,160010103132,2827,2.5253646408604307
